Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,277.000000,277.799988,268.600006,271.549988,271.549988,4056299
2023-06-13,272.600006,274.500000,266.899994,267.799988,267.799988,2998067
2023-06-14,268.200012,271.399994,263.299988,265.250000,265.250000,3529920
2023-06-15,266.600006,274.149994,265.250000,269.250000,269.250000,4817968
2023-06-16,271.000000,273.000000,264.799988,266.100006,266.100006,3777293
2023-06-19,266.899994,268.700012,261.000000,263.649994,263.649994,2782345
2023-06-20,263.600006,265.399994,260.049988,261.700012,261.700012,1958707
2023-06-21,261.649994,265.700012,259.549988,260.649994,260.649994,2666965
2023-06-22,260.500000,263.299988,255.850006,256.600006,256.600006,2706152
2023-06-23,256.600006,256.799988,241.000000,242.399994,242.399994,7292829
2023-06-26,234.050003,254.399994,231.000000,250.600006,250.600006,8107191
2023-06-27,255.000000,257.950012,252.050003,253.100006,253.100006,2774315
2023-06-28,253.100006,253.100006,253.100006,253.100006,253.100006,0
2023-06-30,256.000000,256.600006,249.000000,249.850006,249.850006,2722288
2023-07-03,252.250000,252.250000,248.000000,248.449997,248.449997,2501293
2023-07-04,249.000000,251.699997,246.199997,247.100006,247.100006,2360805
2023-07-05,247.100006,249.399994,245.050003,245.649994,245.649994,2211677
2023-07-06,245.649994,248.399994,245.449997,246.449997,246.449997,2188169
2023-07-07,245.050003,247.699997,242.800003,243.750000,243.750000,1903403
2023-07-10,244.699997,249.350006,237.300003,242.050003,242.050003,4409516
2023-07-11,242.050003,245.750000,241.350006,244.199997,244.199997,2080819
2023-07-12,245.449997,245.500000,239.000000,240.850006,240.850006,2057207
2023-07-13,242.250000,242.949997,235.850006,237.199997,237.199997,2138783
2023-07-14,237.649994,242.699997,236.000000,241.899994,241.899994,2505497
2023-07-17,245.350006,249.550003,243.350006,245.699997,245.699997,3871997
2023-07-18,246.949997,254.449997,242.800003,246.550003,246.550003,5590646
2023-07-19,248.000000,248.750000,245.000000,245.699997,245.699997,1554790
2023-07-20,245.699997,246.949997,243.500000,244.149994,244.149994,1364692
2023-07-21,243.149994,244.899994,240.949997,241.750000,241.750000,2001794
2023-07-24,242.850006,242.850006,237.149994,238.000000,238.000000,2445770
2023-07-25,238.000000,262.899994,238.000000,260.149994,260.149994,16455999
